"rolname","rolsuper","rolcreaterole","rolcreatedb","rolcanlogin"
"pg_database_owner",False,False,False,False
"pg_read_all_data",False,False,False,False
"pg_write_all_data",False,False,False,False
"pg_monitor",False,False,False,False
"pg_read_all_settings",False,False,False,False
"pg_read_all_stats",False,False,False,False
"pg_stat_scan_tables",False,False,False,False
"pg_read_server_files",False,False,False,False
"pg_write_server_files",False,False,False,False
"pg_execute_server_program",False,False,False,False
"pg_signal_backend",False,False,False,False
"pg_checkpoint",False,False,False,False
"pg_maintain",False,False,False,False
"pg_use_reserved_connections",False,False,False,False
"pg_create_subscription",False,False,False,False
"mi_usuario",True,True,True,True
"admin_biblio",False,False,False,True
"usuario_biblio",False,False,False,True
"lectores",False,False,False,False
